source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"12-Inch Diameter PVC Sanitary Sewer, by Open Cut","12""",PVC,Open Cut,LF,1.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,12-inch diameter water line in steel casing by trenchless construction,"12""",Steel,Cased Crossing,LF,88.0,400.0,400.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"12-inch diameter steel water line with pipe guard, aerial crossing","12""",Steel,Open Cut,LF,242.0,258.0,258.0,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"12-inch diameter steel water line with pipe guard, aerial crossing","12""",Steel,Open Cut,LF,242.0,258.0,258.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,12-inch diameter water line in steel casing by trenchless construction,"12""",Steel,Cased Crossing,LF,88.0,400.0,400.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"12-inch diameter 150psi sanitary sewer, by open cut","12""",Unspecified,Open Cut,LF,18.0,250.0,250.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,12-Inch Diameter Sanitary Force Main with Restrained Joints by Horizontal Directional Drilling,"12""",Unspecified,Open Cut,LF,1.0,150.0,150.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"12-Inch Diameter Sanitary Force Main with Restrained Joints, by Open Cut","12""",Unspecified,Open Cut,LF,1.0,350.0,350.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"12-Inch Diameter Sanitary Force Main with Restrained Joints, by Pipe Bursting","12""",Unspecified,Open Cut,LF,1.0,160.0,160.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"12-Inch Diameter Sanitary Force Main with Restrained Joints, crossing HCFCD Unit A-111-00-00, STA 71+26 to STA 73+89","12""",Unspecified,Open Cut,LS,1.0,95000.0,95000.0,,,,
